Wall time,Step,Value
1715031932.6700735,5,4.605113506317139
1715031946.206155,19,4.608551979064941
1715031967.513433,41,4.610104084014893
1715031974.3054254,48,4.614709377288818
1715031988.8181148,63,4.616208553314209
1715031989.7880785,64,4.608824729919434
1715031997.4914048,72,4.608816146850586
1715032003.3014157,78,4.592913627624512
1715032008.1442835,83,4.618680477142334
1715032014.9093368,90,4.602074146270752
1715032028.451082,104,4.629956245422363
1715032032.329438,108,4.632132530212402
1715032045.8904586,122,4.628851890563965
1715032052.6018796,129,4.609663963317871
1715032054.5273912,131,4.622242450714111
1715032080.589116,158,4.6271467208862305
1715032083.490113,161,4.6170454025268555
1715032085.4340873,163,4.621889591217041
1715032087.3785114,165,4.635221481323242
1715032095.1640193,173,4.6300740242004395
1715032113.4290643,192,4.6224365234375
1715032126.3452818,204,4.636534214019775
1715032128.2706823,206,4.654280185699463
1715032151.5417888,230,4.612529754638672
1715032166.101857,245,4.616283893585205
1715032167.0542026,246,4.625881671905518
1715032180.617559,260,4.643209457397461
1715032192.2071414,272,4.631802082061768
1715032195.1231465,275,4.6074676513671875
1715032202.905279,283,4.634949207305908
1715032205.7992682,286,4.606854438781738
1715032215.4911113,296,4.629244327545166
1715032235.8872068,317,4.586137294769287
1715032238.7992325,320,4.628216743469238
1715032241.6954305,323,4.595870018005371
1715032264.9433815,347,4.6069722175598145
1715032276.5624125,359,4.657550811767578
1715032282.3800557,365,4.581587791442871
1715032284.3333716,367,4.581808567047119
1715032295.9679759,379,4.563053607940674
1715032303.6096997,387,4.54205322265625
1715032307.4183543,391,4.605832099914551
1715032319.8502836,403,4.581972599029541
1715032332.4650183,416,4.55681037902832
1715032339.2313826,423,4.55399751663208
1715032352.7998643,437,4.543498516082764
1715032353.7522256,438,4.581484794616699
1715032355.7052498,440,4.558549404144287
1715032362.4515095,447,4.514720439910889
1715032376.9858952,462,4.480336666107178
1715032380.8301704,466,4.477097034454346
1715032390.536706,476,4.464501857757568
1715032395.3584783,481,4.5068817138671875
1715032396.330276,482,4.486038684844971
1715032402.172358,488,4.434528350830078
1715032424.445417,511,4.395313262939453
1715032426.3952205,513,4.356161117553711
1715032427.3673968,514,4.404669761657715
1715032431.2009056,518,4.356614112854004
1715032446.6967986,534,4.248267650604248
1715032451.542283,539,4.362159729003906
1715032453.4942207,541,4.300769329071045
1715032465.1243825,553,4.274909496307373
1715032469.0232136,557,4.21690559387207
1715032474.836302,563,4.270644187927246
1715032502.6824346,591,4.195788383483887
1715032506.5612686,595,4.2178497314453125
1715032508.5056615,597,4.306533336639404
1715032539.5501919,629,4.222589492797852
1715032540.5221076,630,4.190165042877197
1715032548.2813108,638,4.149163246154785
1715032554.058235,644,4.25244140625
